iteration,acq_func,acq_value,accuracy,conv_nodes_1,conv_nodes_2,kernel_size_1,kernel_size_2,maxpool_size,dropout_rate,fc_nodes,lr
105,EI,2.300493850708008,2.300493850708008,33,15,5,3,3,0.5,294,0.01017595558097445
106,EI,1.5009064865112305,1.5009064865112305,13,35,3,5,2,0.2,54,0.00032179197004581243
107,EI,1.8407986450195313,1.8407986450195313,23,45,3,5,2,0.4,174,0.0018095692287117527
108,EI,2.32478759765625,2.32478759765625,43,25,5,3,4,0.7,414,0.05722360346483295
109,EI,1.4431940078735352,1.4431940078735352,38,40,3,3,3,0.1,234,0.00013569854859971417
110,EI,3.545351715087891,3.545351715087891,18,20,5,5,1,0.4,474,0.004291164887541493
111,EI,2.3023453521728516,2.3023453521728516,8,10,5,5,4,0.3,114,0.024130993494703757
112,EI,1.5492760467529296,1.5492760467529296,28,30,3,3,2,0.6,354,0.0007630890164597025
113,EI,1.5197156143188477,1.5197156143188477,27,11,3,5,2,0.4,39,0.0034580017010216895
114,EI,1.4783395004272462,1.4783395004272462,47,31,5,3,4,0.1,279,0.00010935161527965144
115,EI,1.3138153839111328,1.3138153839111328,17,41,5,5,3,0.6,399,0.0006149293224806441
116,EI,2.2997530364990233,2.2997530364990233,37,21,3,3,2,0.3,159,0.019445772590630163
117,EI,1.5511815643310547,1.5511815643310547,42,46,5,3,4,0.2,459,0.0002593135451457947
118,EI,2.301202163696289,2.301202163696289,22,26,3,5,2,0.5,219,0.008200214307936111
119,EI,2.2994681549072267,2.2994681549072267,12,16,3,5,3,0.7,339,0.04611319380769649
120,EI,2.820348815917969,2.820348815917969,32,36,5,3,1,0.4,99,0.001458227226170936
121,EI,2.315350112915039,2.315350112915039,30,39,3,5,1,0.4,69,0.07101093034579413
122,EI,1.3546463394165038,1.3546463394165038,10,19,5,3,3,0.7,309,0.0022455627866027786
123,EI,1.504931182861328,1.504931182861328,20,9,5,3,2,0.5,429,0.0003993238067365349
124,EI,2.304709014892578,2.304709014892578,40,29,3,5,3,0.2,189,0.012627727532163397
125,EI,2.7078926086425783,2.7078926086425783,35,14,5,5,2,0.3,489,0.0009469459753397354
126,EI,2.3041522979736326,2.3041522979736326,15,34,3,3,4,0.6,249,0.029945061032031994
127,EI,2.302472610473633,2.302472610473633,45,44,5,3,1,0.2,369,0.005325068546562144
128,EI,1.3840183639526367,1.3840183639526367,25,24,3,5,3,0.5,129,0.0001683934530365877
129,EI,1.6594393157958984,1.6594393157958984,25,10,5,3,1,0.6,424,0.0004823435246217703
130,EI,1.953312301635742,1.953312301635742,45,30,3,5,3,0.3,184,0.015253041524383008
131,EI,2.2965059661865235,2.2965059661865235,15,40,5,3,2,0.4,64,0.08577415584004955
132,EI,2.7217166900634764,2.7217166900634764,35,20,3,5,4,0.1,304,0.0027124169683279005
133,EI,2.3011114501953127,2.3011114501953127,40,45,3,3,2,0.7,364,0.006432154277483287
134,EI,1.4582558059692383,1.4582558059692383,20,25,5,5,3,0.4,124,0.0002034025777844188
135,EI,3.449613571166992,3.449613571166992,10,15,5,5,1,0.2,484,0.0011438167513842313
136,EI,2.2988578033447267,2.2988578033447267,30,35,3,3,3,0.5,244,0.0361706616022872
137,EI,1.3828029251098632,1.3828029251098632,32,38,5,5,3,0.6,394,0.0007427735882380937
138,EI,2.302711410522461,2.302711410522461,12,18,3,3,1,0.3,154,0.02348856324648428
