iteration,acq_func,acq_value,accuracy,conv_nodes_1,conv_nodes_2,kernel_size_1,kernel_size_2,maxpool_size,dropout_rate,fc_nodes,lr
87,EI,2.3022419738769533,2.3022419738769533,48,48,5,3,1,0.6,32,0.0037208799936182912
88,EI,1.3768130874633788,1.3768130874633788,48,12,5,3,4,0.5,344,0.0003615476102003414
89,EI,1.6264002227783203,1.6264002227783203,48,48,3,3,1,0.4,32,0.0001
90,EI,1.4438185501098633,1.4438185501098633,48,48,5,3,4,0.4,32,0.0003553189484952532
91,EI,1.4604203796386719,1.4604203796386719,48,24,5,3,4,0.4,472,0.0001541950099781606
92,EI,1.4393014907836914,1.4393014907836914,46,33,3,5,3,0.4,422,0.0001851480666597526
93,EI,3.5384039306640624,3.5384039306640624,13,8,5,3,1,0.2,512,0.0012804847521629614
94,EI,1.6697952270507812,1.6697952270507812,48,8,3,5,4,0.6,32,0.0005525611290593825
95,EI,1.5333584976196288,1.5333584976196288,9,48,5,5,4,0.5,32,0.00020141437383455643
96,EI,1.4937549591064454,1.4937549591064454,48,48,3,5,4,0.4,32,0.0001
97,EI,1.392625617980957,1.392625617980957,48,48,5,3,4,0.5,512,0.001506252590694599
98,EI,1.5379672622680665,1.5379672622680665,48,48,5,5,4,0.3,32,0.0001
99,EI,1.6002396392822265,1.6002396392822265,48,48,3,3,4,0.4,32,0.0001
100,EI,1.329884262084961,1.329884262084961,48,17,5,5,4,0.5,512,0.0016992382975467536
101,EI,1.5464063262939454,1.5464063262939454,48,48,5,3,4,0.3,32,0.0001
102,EI,1.447537384033203,1.447537384033203,48,48,3,3,3,0.1,32,0.00018863885786237828
103,EI,1.3236466217041016,1.3236466217041016,48,10,3,3,4,0.5,512,0.0009514237784053186
104,EI,1.3676002502441407,1.3676002502441407,48,21,3,5,4,0.5,512,0.0009385729897319437
105,EI,1.298640899658203,1.298640899658203,48,8,5,3,4,0.5,512,0.0008917482143620912
106,EI,1.7128754425048829,1.7128754425048829,45,8,3,3,4,0.5,512,0.0016338511894509443
107,EI,1.376776885986328,1.376776885986328,27,15,5,5,4,0.6,512,0.0003337838276075521
108,EI,1.6667956161499022,1.6667956161499022,29,22,3,3,3,0.1,32,0.0001
109,EI,2.1737611389160154,2.1737611389160154,48,48,3,5,1,0.1,512,0.0001
110,EI,1.5524185180664063,1.5524185180664063,26,31,3,3,2,0.4,64,0.00019869657276954997
111,EI,1.3119392395019531,1.3119392395019531,39,48,5,3,4,0.5,512,0.00023782373544831693
112,EI,1.570834617614746,1.570834617614746,18,48,3,5,2,0.6,32,0.00019519648662992954
113,EI,1.4545889282226563,1.4545889282226563,48,38,5,3,4,0.5,32,0.0020799807610953278
114,EI,1.322661247253418,1.322661247253418,48,37,3,5,4,0.5,508,0.00026152118357980036
115,EI,1.2774953079223632,1.2774953079223632,22,48,3,3,4,0.5,512,0.00027362734991737223
116,EI,1.443958168029785,1.443958168029785,48,35,3,5,4,0.5,32,0.0022343472391204685
117,EI,1.540233383178711,1.540233383178711,47,21,5,3,4,0.1,512,0.00023613949599848803
118,EI,1.3881619262695313,1.3881619262695313,37,48,3,5,4,0.5,512,0.00027033751297088896
119,EI,1.3195877838134766,1.3195877838134766,27,35,3,3,4,0.5,512,0.0002816908100616764
120,EI,1.3763097763061523,1.3763097763061523,26,39,5,5,4,0.5,343,0.0002762611719642418
121,EI,1.4509257125854491,1.4509257125854491,34,46,5,3,4,0.1,86,0.00021749410785704886
122,EI,1.2583767700195312,1.2583767700195312,26,48,5,5,4,0.5,512,0.00026339268097139905
123,EI,1.3791395568847655,1.3791395568847655,25,48,3,5,4,0.5,512,0.00028944972232041594
124,EI,1.318480796813965,1.318480796813965,27,48,5,5,4,0.5,512,0.0002868452187818572
125,EI,1.4914901733398438,1.4914901733398438,23,48,3,3,4,0.1,512,0.000248176362564557
126,EI,1.410120964050293,1.410120964050293,35,48,5,3,4,0.5,512,0.0002623130779701734
127,EI,1.2991773986816406,1.2991773986816406,38,38,3,5,4,0.5,512,0.00028127482088832794
128,EI,1.3564656829833985,1.3564656829833985,40,48,3,5,4,0.5,512,0.00024322827152321622
129,EI,1.433831672668457,1.433831672668457,39,48,3,5,4,0.1,238,0.00021644797692476424
130,EI,1.4366548919677735,1.4366548919677735,25,48,5,5,4,0.5,32,0.0022003001432063744
131,EI,1.5613172912597657,1.5613172912597657,45,13,3,3,4,0.1,512,0.00024921868893660085
132,EI,1.4831770324707032,1.4831770324707032,42,48,5,3,4,0.1,512,0.00023036673617823287
133,EI,1.4983151626586915,1.4983151626586915,16,48,5,5,4,0.1,512,0.00023866433039732593
134,EI,1.7155274963378906,1.7155274963378906,46,48,5,5,4,0.1,512,0.00023132689447345986
135,EI,1.5003112411499024,1.5003112411499024,30,48,3,3,4,0.5,32,0.00021547278165468342
136,EI,1.4336515426635743,1.4336515426635743,16,48,5,3,4,0.1,444,0.0002433791697886328
137,EI,1.4398895263671876,1.4398895263671876,28,20,5,5,4,0.1,512,0.00024266995679065657
138,EI,1.4049721145629883,1.4049721145629883,16,38,5,3,4,0.5,512,0.0002973411807070337
139,EI,1.4600021743774414,1.4600021743774414,8,25,3,5,4,0.1,386,0.00023618227723306057
140,EI,1.3610467147827148,1.3610467147827148,8,48,5,5,4,0.5,512,0.0002367287347036106
141,EI,1.5222118759155274,1.5222118759155274,8,35,3,5,4,0.1,392,0.00023661147015565265
142,EI,1.4965792846679689,1.4965792846679689,21,43,3,3,4,0.1,512,0.0002467278620605825
143,EI,1.5178276824951171,1.5178276824951171,22,40,3,5,4,0.1,512,0.0002403183881987827
144,EI,1.4641582870483398,1.4641582870483398,17,36,3,5,4,0.1,512,0.00023902880619992454
